Algorithm,K-Value,Actual Clusters,Total Classes,Min Size,Median Size,Max Size,Distribution
ACDC,N/A,4,157,2,13,108,"[108, 34, 13, 2]"
LIMBO,2,2,157,32,32,125,"[125, 32]"
LIMBO,3,3,157,12,32,113,"[113, 32, 12]"
LIMBO,4,4,157,5,7,113,"[113, 32, 7, 5]"
LIMBO,5,5,157,2,7,113,"[113, 32, 7, 3, 2]"
LIMBO,6,6,157,2,7,81,"[81, 32, 32, 7, 3, 2]"
LIMBO,7,7,157,2,12,81,"[81, 32, 20, 12, 7, 3, 2]"
LIMBO,8,8,157,2,9,81,"[81, 32, 12, 11, 9, 7, 3, 2]"
LIMBO,9,9,157,2,9,81,"[81, 32, 12, 11, 9, 4, 3, 3, 2]"
LIMBO,10,10,157,2,9,43,"[43, 38, 32, 12, 11, 9, 4, 3, 3, 2]"
LIMBO,11,11,157,2,6,43,"[43, 38, 32, 11, 9, 6, 6, 4, 3, 3, 2]"
LIMBO,12,12,157,2,6,43,"[43, 38, 32, 11, 6, 6, 6, 4, 3, 3, 3, 2]"
LIMBO,13,13,157,2,6,38,"[38, 32, 24, 19, 11, 6, 6, 6, 4, 3, 3, 3, 2]"
LIMBO,14,14,157,2,6,38,"[38, 32, 24, 11, 10, 9, 6, 6, 6, 4, 3, 3, 3, 2]"
LIMBO,15,15,157,2,6,38,"[38, 32, 24, 11, 9, 6, 6, 6, 6, 4, 4, 3, 3, 3, 2]"
LIMBO,16,16,157,2,6,38,"[38, 32, 15, 11, 9, 9, 6, 6, 6, 6, 4, 4, 3, 3, 3, 2]"
LIMBO,17,17,157,2,6,38,"[38, 32, 15, 11, 9, 9, 6, 6, 6, 4, 4, 4, 3, 3, 3, 2, 2]"
LIMBO,18,18,157,2,5,38,"[38, 32, 15, 9, 9, 6, 6, 6, 6, 5, 4, 4, 4, 3, 3, 3, 2, 2]"
LIMBO,19,19,157,2,5,38,"[38, 32, 15, 9, 6, 6, 6, 6, 5, 5, 4, 4, 4, 4, 3, 3, 3, 2, 2]"
LIMBO,20,20,157,2,5,38,"[38, 32, 10, 9, 6, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 3, 3, 3, 2, 2]"
LIMBO,21,21,157,2,4,38,"[38, 32, 10, 9, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2]"
LIMBO,22,22,157,2,4,38,"[38, 32, 10, 9, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2]"
LIMBO,23,23,157,1,4,38,"[38, 32, 10, 9, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 1, 1]"
LIMBO,24,24,157,1,4,38,"[38, 32, 10, 9, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1]"
LIMBO,25,25,157,1,4,38,"[38, 32, 10, 6, 6, 6, 5, 5, 5, 5, 4, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1]"
LIMBO,26,26,157,1,4,38,"[38, 32, 10, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 4, 3, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1]"
LIMBO,27,27,157,1,3,38,"[38, 32, 10, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1]"
LIMBO,28,28,157,1,3,38,"[38, 32, 10, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
LIMBO,29,29,157,1,3,38,"[38, 32, 10, 6, 6, 6, 5, 5, 5, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
LIMBO,30,30,157,1,2,38,"[38, 32, 10, 6, 6, 6, 5, 5, 5, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
LIMBO,31,31,157,1,2,38,"[38, 32, 10, 6, 6, 6, 5, 5, 4, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
LIMBO,32,32,157,1,2,38,"[38, 32, 10, 6, 6, 6, 5, 5, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
LIMBO,33,33,157,1,2,38,"[38, 32, 10, 6, 6, 5, 5, 4, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
