Algorithm 1,Algorithm 2,K-Value,A2A Score,CVG (1 -> 2),CVG (2 -> 1)
Limbo,ACDC,2,87.85488959,0,0
Limbo,ACDC,3,88.97637795,0.333333333,0.25
Limbo,ACDC,4,88.83647799,0.25,0.25
Limbo,ACDC,5,88.69701727,0.2,0.25
Limbo,ACDC,6,85.89341693,0,0
Limbo,ACDC,7,85.44600939,0,0
Limbo,ACDC,8,85.3125,0,0
Limbo,ACDC,9,85.02340094,0,0
Limbo,ACDC,10,81.77570093,0,0
Limbo,ACDC,11,81.64852255,0,0
Limbo,ACDC,12,81.52173913,0,0
Limbo,ACDC,13,81.08527132,0,0
Limbo,ACDC,14,80.95975232,0,0
Limbo,ACDC,15,80.83462133,0,0
Limbo,ACDC,16,80.70987654,0,0
Limbo,ACDC,17,80.58551618,0,0
Limbo,ACDC,18,80.15384615,0,0
Limbo,ACDC,19,80.03072197,0,0
Limbo,ACDC,20,79.90797546,0,0
Limbo,ACDC,21,79.7856049,0,0
Limbo,ACDC,22,79.66360856,0,0
Limbo,ACDC,23,79.54198473,0,0
Limbo,ACDC,24,79.42073171,0,0
Limbo,ACDC,25,79.29984779,0,0
Limbo,ACDC,26,79.17933131,0,0
Limbo,ACDC,27,79.05918058,0,0
Limbo,ACDC,28,78.93939394,0,0
Limbo,ACDC,29,78.81996974,0,0
Limbo,ACDC,30,78.70090634,0,0
Limbo,ACDC,31,78.58220211,0,0
Limbo,ACDC,32,78.46385542,0,0
Limbo,ACDC,33,78.34586466,0,0
Limbo,ACDC,34,77.92792793,0,0
Limbo,ACDC,35,77.81109445,0,0
Limbo,ACDC,36,77.69461078,0,0
Limbo,ACDC,37,77.57847534,0,0
Limbo,ACDC,38,77.46268657,0,0
Limbo,ACDC,39,77.34724292,0,0
Limbo,ACDC,40,77.23214286,0,0
Limbo,ACDC,41,77.11738484,0,0
Limbo,ACDC,42,77.00296736,0,0
Limbo,ACDC,43,76.88888889,0,0
Limbo,ACDC,44,76.77514793,0,0
Limbo,ACDC,45,76.66174298,0,0
Limbo,ACDC,46,76.54867257,0,0
Limbo,ACDC,47,76.4359352,0,0
Limbo,ACDC,48,76.32352941,0,0
Limbo,ACDC,49,76.21145374,0,0
Limbo,ACDC,50,76.09970674,0,0
WCA,ACDC,2,92.11356467,0.5,0.25
WCA,ACDC,3,92.12598425,0.333333333,0.25
WCA,ACDC,4,92.13836478,0.25,0.25
WCA,ACDC,5,92.15070644,0.2,0.25
WCA,ACDC,6,92.00626959,0.166666667,0.25
WCA,ACDC,7,91.7057903,0.142857143,0.25
WCA,ACDC,8,91.40625,0.125,0.25
WCA,ACDC,9,91.10764431,0.111111111,0.25
WCA,ACDC,10,90.80996885,0.1,0.25
WCA,ACDC,11,90.51321928,0.090909091,0.25
WCA,ACDC,12,90.37267081,0.083333333,0.25
WCA,ACDC,13,90.07751938,0.076923077,0.25
WCA,ACDC,14,89.78328173,0.071428571,0.25
WCA,ACDC,15,89.48995363,0.066666667,0.25
WCA,ACDC,16,89.19753086,0.0625,0.25
WCA,ACDC,17,88.90600924,0.058823529,0.25
WCA,ACDC,18,88.92307692,0.055555556,0.25
WCA,ACDC,19,88.78648233,0.052631579,0.25
WCA,ACDC,20,88.65030675,0.05,0.25
WCA,ACDC,21,88.51454824,0.047619048,0.25
WCA,ACDC,22,88.22629969,0.045454545,0.25
WCA,ACDC,23,88.09160305,0.043478261,0.25
WCA,ACDC,24,87.80487805,0.041666667,0.25
WCA,ACDC,25,87.67123288,0.04,0.25
WCA,ACDC,26,87.38601824,0.038461538,0.25
WCA,ACDC,27,87.1016692,0.037037037,0.25
WCA,ACDC,28,86.81818182,0.035714286,0.25
WCA,ACDC,29,86.53555219,0.034482759,0.25
WCA,ACDC,30,86.25377644,0.033333333,0.25
WCA,ACDC,31,85.97285068,0.032258065,0.25
WCA,ACDC,32,85.69277108,0.03125,0.25
WCA,ACDC,33,85.41353383,0.03030303,0.25
WCA,ACDC,34,85.28528529,0.029411765,0.25
WCA,ACDC,35,85.15742129,0.028571429,0.25
WCA,ACDC,36,85.02994012,0.027777778,0.25
WCA,ACDC,37,84.90284006,0.027027027,0.25
WCA,ACDC,38,84.7761194,0.026315789,0.25
WCA,ACDC,39,84.50074516,0.025641026,0.25
WCA,ACDC,40,84.22619048,0.025,0.25
WCA,ACDC,41,84.10104012,0.024390244,0.25
WCA,ACDC,42,80.41543027,0,0
WCA,ACDC,43,80.2962963,0,0
WCA,ACDC,44,77.95857988,0,0
WCA,ACDC,45,77.84342688,0,0
WCA,ACDC,46,77.58112094,0,0
WCA,ACDC,47,75.84683358,0,0
WCA,ACDC,48,75.14705882,0,0
WCA,ACDC,49,74.88986784,0,0
WCA,ACDC,50,74.48680352,0,0
WCA,Limbo,2,94.77848101,0.5,0.5
WCA,Limbo,3,92.7444795,0.333333333,0.333333333
WCA,Limbo,4,92.61006289,0.25,0.25
WCA,Limbo,5,92.47648903,0.2,0.2
WCA,Limbo,6,87.34375,0,0
WCA,Limbo,7,87.22741433,0,0
WCA,Limbo,8,87.11180124,0,0
WCA,Limbo,9,86.99690402,0,0
WCA,Limbo,10,82.5617284,0,0
WCA,Limbo,11,82.61538462,0,0
WCA,Limbo,12,82.66871166,0,0
WCA,Limbo,13,81.03975535,0,0
WCA,Limbo,14,81.09756098,0,0
WCA,Limbo,15,81.1550152,0,0
WCA,Limbo,16,81.21212121,0,0
WCA,Limbo,17,81.26888218,0,0
WCA,Limbo,18,81.47590361,0,0
WCA,Limbo,19,81.53153153,0,0
WCA,Limbo,20,81.58682635,0,0
WCA,Limbo,21,81.64179104,0,0
WCA,Limbo,22,81.69642857,0,0
WCA,Limbo,23,81.75074184,0,0
WCA,Limbo,24,81.80473373,0.041666667,0.041666667
WCA,Limbo,25,81.85840708,0.04,0.04
WCA,Limbo,26,81.91176471,0.038461538,0.038461538
WCA,Limbo,27,81.96480938,0.037037037,0.037037037
WCA,Limbo,28,82.01754386,0.035714286,0.035714286
WCA,Limbo,29,82.06997085,0.034482759,0.034482759
WCA,Limbo,30,82.12209302,0.033333333,0.033333333
WCA,Limbo,31,82.17391304,0.032258065,0.032258065
WCA,Limbo,32,82.22543353,0.03125,0.03125
WCA,Limbo,33,82.27665706,0.03030303,0.03030303
WCA,Limbo,34,82.32758621,0.029411765,0.029411765
WCA,Limbo,35,82.3782235,0.028571429,0.028571429
WCA,Limbo,36,82.57142857,0.055555556,0.055555556
WCA,Limbo,37,82.62108262,0.054054054,0.054054054
WCA,Limbo,38,82.67045455,0.052631579,0.052631579
WCA,Limbo,39,82.71954674,0.051282051,0.051282051
WCA,Limbo,40,82.76836158,0.05,0.05
WCA,Limbo,41,82.81690141,0.048780488,0.048780488
WCA,Limbo,42,83.70786517,0.047619048,0.047619048
WCA,Limbo,43,84.17366947,0.046511628,0.046511628
WCA,Limbo,44,84.63687151,0.068181818,0.068181818
WCA,Limbo,45,84.95821727,0.066666667,0.066666667
WCA,Limbo,46,85.69444444,0.065217391,0.065217391
WCA,Limbo,47,84.07202216,0.042553191,0.042553191
WCA,Limbo,48,84.53038674,0.041666667,0.041666667
WCA,Limbo,49,83.60881543,0.040816327,0.040816327
WCA,Limbo,50,83.79120879,0.04,0.04
