Algorithm 1,Algorithm 2,Alpha,K-Value,A2A Score,CVG (1 -> 2),CVG (2 -> 1)
WCA,Limbo,N/A,2,94.77848101265822,0.5,0.5
WCA,ACDC,N/A,2,92.11356466876973,0.5,0.25
Limbo,ACDC,N/A,2,87.85488958990535,0.0,0.0
ARC,WCA,0.2,2,87.81645569620254,0.0,0.0
ARC,Limbo,0.2,2,92.72151898734178,0.0,0.0
ARC,ACDC,0.2,2,88.95899053627761,0.0,0.0
ARC,WCA,0.4,2,89.39873417721519,0.0,0.0
ARC,Limbo,0.4,2,90.34810126582279,0.0,0.0
ARC,ACDC,0.4,2,90.06309148264984,0.0,0.0
ARC,WCA,0.6,2,89.55696202531645,0.0,0.0
ARC,Limbo,0.6,2,90.18987341772153,0.0,0.0
ARC,ACDC,0.6,2,90.22082018927445,0.5,0.25
ARC,WCA,0.8,2,89.55696202531645,0.0,0.0
ARC,Limbo,0.8,2,90.18987341772153,0.0,0.0
ARC,ACDC,0.8,2,90.22082018927445,0.5,0.25
WCA,Limbo,N/A,3,92.74447949526814,0.3333333333333333,0.3333333333333333
WCA,ACDC,N/A,3,92.1259842519685,0.3333333333333333,0.25
Limbo,ACDC,N/A,3,88.9763779527559,0.3333333333333333,0.25
ARC,WCA,0.2,3,87.85488958990535,0.0,0.0
ARC,Limbo,0.2,3,90.85173501577287,0.0,0.0
ARC,ACDC,0.2,3,88.9763779527559,0.0,0.0
ARC,WCA,0.4,3,85.8044164037855,0.0,0.0
ARC,Limbo,0.4,3,88.801261829653,0.0,0.0
ARC,ACDC,0.4,3,87.55905511811024,0.0,0.0
ARC,WCA,0.6,3,85.64668769716089,0.0,0.0
ARC,Limbo,0.6,3,88.4858044164038,0.0,0.0
ARC,ACDC,0.6,3,87.24409448818898,0.0,0.0
ARC,WCA,0.8,3,85.64668769716089,0.0,0.0
ARC,Limbo,0.8,3,88.4858044164038,0.0,0.0
ARC,ACDC,0.8,3,87.24409448818898,0.0,0.0
WCA,Limbo,N/A,4,92.61006289308176,0.25,0.25
WCA,ACDC,N/A,4,92.13836477987421,0.25,0.25
Limbo,ACDC,N/A,4,88.83647798742138,0.25,0.25
ARC,WCA,0.2,4,87.89308176100629,0.0,0.0
ARC,Limbo,0.2,4,90.56603773584906,0.0,0.0
ARC,ACDC,0.2,4,88.36477987421384,0.0,0.0
ARC,WCA,0.4,4,84.90566037735849,0.0,0.0
ARC,Limbo,0.4,4,86.79245283018868,0.0,0.0
ARC,ACDC,0.4,4,87.42138364779875,0.0,0.0
ARC,WCA,0.6,4,84.59119496855347,0.0,0.0
ARC,Limbo,0.6,4,86.47798742138365,0.0,0.0
ARC,ACDC,0.6,4,87.10691823899371,0.0,0.0
ARC,WCA,0.8,4,84.59119496855347,0.0,0.0
ARC,Limbo,0.8,4,86.47798742138365,0.0,0.0
ARC,ACDC,0.8,4,87.10691823899371,0.0,0.0
WCA,Limbo,N/A,5,92.47648902821317,0.2,0.2
WCA,ACDC,N/A,5,92.15070643642072,0.2,0.25
Limbo,ACDC,N/A,5,88.69701726844585,0.2,0.25
ARC,WCA,0.2,5,87.93103448275862,0.0,0.0
ARC,Limbo,0.2,5,89.18495297805643,0.0,0.0
ARC,ACDC,0.2,5,85.24332810047096,0.0,0.0
ARC,WCA,0.4,5,84.79623824451411,0.0,0.0
ARC,Limbo,0.4,5,86.83385579937304,0.0,0.0
ARC,ACDC,0.4,5,87.28414442700156,0.0,0.0
ARC,WCA,0.6,5,84.48275862068965,0.0,0.0
ARC,Limbo,0.6,5,86.52037617554859,0.0,0.0
ARC,ACDC,0.6,5,86.9701726844584,0.0,0.0
ARC,WCA,0.8,5,84.48275862068965,0.0,0.0
ARC,Limbo,0.8,5,86.52037617554859,0.0,0.0
ARC,ACDC,0.8,5,86.9701726844584,0.0,0.0
WCA,Limbo,N/A,6,87.34375,0.0,0.0
WCA,ACDC,N/A,6,92.00626959247649,0.16666666666666666,0.25
Limbo,ACDC,N/A,6,85.8934169278997,0.0,0.0
ARC,WCA,0.2,6,87.65625,0.0,0.0
ARC,Limbo,0.2,6,85.9375,0.0,0.0
ARC,ACDC,0.2,6,84.79623824451411,0.0,0.0
ARC,WCA,0.4,6,84.21875,0.0,0.0
ARC,Limbo,0.4,6,86.25,0.0,0.0
ARC,ACDC,0.4,6,86.67711598746082,0.0,0.0
ARC,WCA,0.6,6,84.375,0.0,0.0
ARC,Limbo,0.6,6,85.625,0.0,0.0
ARC,ACDC,0.6,6,86.83385579937304,0.0,0.0
ARC,WCA,0.8,6,84.375,0.0,0.0
ARC,Limbo,0.8,6,85.625,0.0,0.0
ARC,ACDC,0.8,6,86.83385579937304,0.0,0.0
WCA,Limbo,N/A,7,87.22741433021807,0.0,0.0
WCA,ACDC,N/A,7,91.70579029733959,0.14285714285714285,0.25
Limbo,ACDC,N/A,7,85.44600938967136,0.0,0.0
ARC,WCA,0.2,7,87.69470404984425,0.0,0.0
ARC,Limbo,0.2,7,85.66978193146417,0.0,0.0
ARC,ACDC,0.2,7,84.1940532081377,0.0,0.0
ARC,WCA,0.4,7,84.11214953271028,0.0,0.0
ARC,Limbo,0.4,7,85.98130841121495,0.0,0.0
ARC,ACDC,0.4,7,86.5414710485133,0.14285714285714285,0.25
ARC,WCA,0.6,7,83.8006230529595,0.0,0.0
ARC,Limbo,0.6,7,85.66978193146417,0.0,0.0
ARC,ACDC,0.6,7,86.2284820031299,0.0,0.0
ARC,WCA,0.8,7,83.8006230529595,0.0,0.0
ARC,Limbo,0.8,7,85.66978193146417,0.0,0.0
ARC,ACDC,0.8,7,86.2284820031299,0.0,0.0
WCA,Limbo,N/A,8,87.11180124223603,0.0,0.0
WCA,ACDC,N/A,8,91.40625,0.125,0.25
Limbo,ACDC,N/A,8,85.3125,0.0,0.0
ARC,WCA,0.2,8,87.88819875776397,0.0,0.0
ARC,Limbo,0.2,8,85.09316770186335,0.0,0.0
ARC,ACDC,0.2,8,83.4375,0.0,0.0
ARC,WCA,0.4,8,84.00621118012423,0.0,0.0
ARC,Limbo,0.4,8,86.33540372670807,0.0,0.0
ARC,ACDC,0.4,8,86.40625,0.125,0.25
ARC,WCA,0.6,8,83.69565217391303,0.0,0.0
ARC,Limbo,0.6,8,85.71428571428572,0.0,0.0
ARC,ACDC,0.6,8,86.09375,0.125,0.25
ARC,WCA,0.8,8,83.69565217391303,0.0,0.0
ARC,Limbo,0.8,8,85.71428571428572,0.0,0.0
ARC,ACDC,0.8,8,86.09375,0.125,0.25
WCA,Limbo,N/A,9,86.9969040247678,0.0,0.0
WCA,ACDC,N/A,9,91.10764430577223,0.1111111111111111,0.25
Limbo,ACDC,N/A,9,85.02340093603745,0.0,0.0
ARC,WCA,0.2,9,83.12693498452013,0.0,0.0
ARC,Limbo,0.2,9,84.36532507739938,0.1111111111111111,0.1111111111111111
ARC,ACDC,0.2,9,86.1154446177847,0.1111111111111111,0.25
ARC,WCA,0.4,9,84.21052631578947,0.0,0.0
ARC,Limbo,0.4,9,86.37770897832817,0.0,0.0
ARC,ACDC,0.4,9,86.27145085803431,0.1111111111111111,0.25
ARC,WCA,0.6,9,83.90092879256966,0.0,0.0
ARC,Limbo,0.6,9,85.75851393188854,0.0,0.0
ARC,ACDC,0.6,9,85.95943837753511,0.1111111111111111,0.25
ARC,WCA,0.8,9,83.90092879256966,0.0,0.0
ARC,Limbo,0.8,9,85.75851393188854,0.0,0.0
ARC,ACDC,0.8,9,85.95943837753511,0.1111111111111111,0.25
WCA,Limbo,N/A,10,82.56172839506173,0.0,0.0
WCA,ACDC,N/A,10,90.80996884735202,0.1,0.25
Limbo,ACDC,N/A,10,81.77570093457945,0.0,0.0
ARC,WCA,0.2,10,83.17901234567901,0.0,0.0
ARC,Limbo,0.2,10,85.3395061728395,0.1,0.1
ARC,ACDC,0.2,10,85.98130841121495,0.1,0.25
ARC,WCA,0.4,10,84.10493827160494,0.0,0.0
ARC,Limbo,0.4,10,85.95679012345678,0.0,0.0
ARC,ACDC,0.4,10,86.13707165109035,0.1,0.25
ARC,WCA,0.6,10,83.9506172839506,0.0,0.0
ARC,Limbo,0.6,10,85.64814814814815,0.0,0.0
ARC,ACDC,0.6,10,85.82554517133957,0.1,0.25
ARC,WCA,0.8,10,83.9506172839506,0.0,0.0
ARC,Limbo,0.8,10,85.64814814814815,0.0,0.0
ARC,ACDC,0.8,10,85.82554517133957,0.1,0.25
WCA,Limbo,N/A,11,82.61538461538461,0.0,0.0
WCA,ACDC,N/A,11,90.51321928460342,0.09090909090909091,0.25
Limbo,ACDC,N/A,11,81.64852255054433,0.0,0.0
ARC,WCA,0.2,11,83.23076923076923,0.0,0.0
ARC,Limbo,0.2,11,85.38461538461539,0.09090909090909091,0.09090909090909091
ARC,ACDC,0.2,11,85.8475894245723,0.09090909090909091,0.25
ARC,WCA,0.4,11,84.15384615384616,0.0,0.0
ARC,Limbo,0.4,11,86.0,0.0,0.0
ARC,ACDC,0.4,11,86.00311041990669,0.09090909090909091,0.25
ARC,WCA,0.6,11,84.0,0.0,0.0
ARC,Limbo,0.6,11,85.6923076923077,0.0,0.0
ARC,ACDC,0.6,11,85.69206842923795,0.09090909090909091,0.25
ARC,WCA,0.8,11,84.0,0.0,0.0
ARC,Limbo,0.8,11,85.6923076923077,0.0,0.0
ARC,ACDC,0.8,11,85.69206842923795,0.09090909090909091,0.25
WCA,Limbo,N/A,12,82.66871165644172,0.0,0.0
WCA,ACDC,N/A,12,90.37267080745342,0.08333333333333333,0.25
Limbo,ACDC,N/A,12,81.5217391304348,0.0,0.0
ARC,WCA,0.2,12,83.28220858895705,0.0,0.0
ARC,Limbo,0.2,12,85.2760736196319,0.08333333333333333,0.08333333333333333
ARC,ACDC,0.2,12,85.71428571428572,0.08333333333333333,0.25
ARC,WCA,0.4,12,84.20245398773007,0.0,0.0
ARC,Limbo,0.4,12,86.04294478527608,0.0,0.0
ARC,ACDC,0.4,12,85.86956521739131,0.08333333333333333,0.25
ARC,WCA,0.6,12,84.04907975460122,0.0,0.0
ARC,Limbo,0.6,12,85.42944785276075,0.0,0.0
ARC,ACDC,0.6,12,85.55900621118012,0.08333333333333333,0.25
ARC,WCA,0.8,12,84.04907975460122,0.0,0.0
ARC,Limbo,0.8,12,85.42944785276075,0.0,0.0
ARC,ACDC,0.8,12,85.55900621118012,0.08333333333333333,0.25
WCA,Limbo,N/A,13,81.03975535168195,0.0,0.0
WCA,ACDC,N/A,13,90.07751937984496,0.07692307692307693,0.25
Limbo,ACDC,N/A,13,81.08527131782945,0.0,0.0
ARC,WCA,0.2,13,83.4862385321101,0.0,0.0
ARC,Limbo,0.2,13,83.63914373088686,0.07692307692307693,0.07692307692307693
ARC,ACDC,0.2,13,85.5813953488372,0.07692307692307693,0.25
ARC,WCA,0.4,13,84.40366972477065,0.0,0.0
ARC,Limbo,0.4,13,85.01529051987767,0.0,0.0
ARC,ACDC,0.4,13,85.73643410852713,0.07692307692307693,0.25
ARC,WCA,0.6,13,84.25076452599389,0.0,0.0
ARC,Limbo,0.6,13,85.01529051987767,0.0,0.0
ARC,ACDC,0.6,13,85.42635658914729,0.07692307692307693,0.25
ARC,WCA,0.8,13,84.25076452599389,0.0,0.0
ARC,Limbo,0.8,13,85.01529051987767,0.0,0.0
ARC,ACDC,0.8,13,85.42635658914729,0.07692307692307693,0.25
WCA,Limbo,N/A,14,81.09756097560977,0.0,0.0
WCA,ACDC,N/A,14,89.78328173374614,0.07142857142857142,0.25
Limbo,ACDC,N/A,14,80.95975232198143,0.0,0.0
ARC,WCA,0.2,14,83.38414634146342,0.0,0.0
ARC,Limbo,0.2,14,83.6890243902439,0.07142857142857142,0.07142857142857142
ARC,ACDC,0.2,14,85.44891640866872,0.07142857142857142,0.25
ARC,WCA,0.4,14,84.29878048780488,0.0,0.0
ARC,Limbo,0.4,14,85.21341463414635,0.0,0.0
