Algorithm 1	Algorithm 2	Alpha	K-Value	A2A Score	CVG (1 -> 2)	CVG (2 -> 1)
WCA	Limbo	N/A	2	94.77848101	0.5	0.5
WCA	ACDC	N/A	2	92.11356467	0.5	0.25
Limbo	ACDC	N/A	2	87.85488959	0	0
ARC	WCA	0.2	2	87.8164557	0	0
ARC	Limbo	0.2	2	92.72151899	0	0
ARC	ACDC	0.2	2	88.95899054	0	0
ARC	WCA	0.4	2	89.39873418	0	0
ARC	Limbo	0.4	2	90.34810127	0	0
ARC	ACDC	0.4	2	90.06309148	0	0
ARC	WCA	0.6	2	89.55696203	0	0
ARC	Limbo	0.6	2	90.18987342	0	0
ARC	ACDC	0.6	2	90.22082019	0.5	0.25
ARC	WCA	0.8	2	89.55696203	0	0
ARC	Limbo	0.8	2	90.18987342	0	0
ARC	ACDC	0.8	2	90.22082019	0.5	0.25
WCA	Limbo	N/A	3	92.7444795	0.333333333	0.333333333
WCA	ACDC	N/A	3	92.12598425	0.333333333	0.25
Limbo	ACDC	N/A	3	88.97637795	0.333333333	0.25
ARC	WCA	0.2	3	87.85488959	0	0
ARC	Limbo	0.2	3	90.85173502	0	0
ARC	ACDC	0.2	3	88.97637795	0	0
ARC	WCA	0.4	3	85.8044164	0	0
ARC	Limbo	0.4	3	88.80126183	0	0
ARC	ACDC	0.4	3	87.55905512	0	0
ARC	WCA	0.6	3	85.6466877	0	0
ARC	Limbo	0.6	3	88.48580442	0	0
ARC	ACDC	0.6	3	87.24409449	0	0
ARC	WCA	0.8	3	85.6466877	0	0
ARC	Limbo	0.8	3	88.48580442	0	0
ARC	ACDC	0.8	3	87.24409449	0	0
WCA	Limbo	N/A	4	92.61006289	0.25	0.25
WCA	ACDC	N/A	4	92.13836478	0.25	0.25
Limbo	ACDC	N/A	4	88.83647799	0.25	0.25
ARC	WCA	0.2	4	87.89308176	0	0
ARC	Limbo	0.2	4	90.56603774	0	0
ARC	ACDC	0.2	4	88.36477987	0	0
ARC	WCA	0.4	4	84.90566038	0	0
ARC	Limbo	0.4	4	86.79245283	0	0
ARC	ACDC	0.4	4	87.42138365	0	0
ARC	WCA	0.6	4	84.59119497	0	0
ARC	Limbo	0.6	4	86.47798742	0	0
ARC	ACDC	0.6	4	87.10691824	0	0
ARC	WCA	0.8	4	84.59119497	0	0
ARC	Limbo	0.8	4	86.47798742	0	0
ARC	ACDC	0.8	4	87.10691824	0	0
WCA	Limbo	N/A	5	92.47648903	0.2	0.2
WCA	ACDC	N/A	5	92.15070644	0.2	0.25
Limbo	ACDC	N/A	5	88.69701727	0.2	0.25
ARC	WCA	0.2	5	87.93103448	0	0
ARC	Limbo	0.2	5	89.18495298	0	0
ARC	ACDC	0.2	5	85.2433281	0	0
ARC	WCA	0.4	5	84.79623824	0	0
ARC	Limbo	0.4	5	86.8338558	0	0
ARC	ACDC	0.4	5	87.28414443	0	0
ARC	WCA	0.6	5	84.48275862	0	0
ARC	Limbo	0.6	5	86.52037618	0	0
ARC	ACDC	0.6	5	86.97017268	0	0
ARC	WCA	0.8	5	84.48275862	0	0
ARC	Limbo	0.8	5	86.52037618	0	0
ARC	ACDC	0.8	5	86.97017268	0	0
WCA	Limbo	N/A	6	87.34375	0	0
WCA	ACDC	N/A	6	92.00626959	0.166666667	0.25
Limbo	ACDC	N/A	6	85.89341693	0	0
ARC	WCA	0.2	6	87.65625	0	0
ARC	Limbo	0.2	6	85.9375	0	0
ARC	ACDC	0.2	6	84.79623824	0	0
ARC	WCA	0.4	6	84.21875	0	0
ARC	Limbo	0.4	6	86.25	0	0
ARC	ACDC	0.4	6	86.67711599	0	0
ARC	WCA	0.6	6	84.375	0	0
ARC	Limbo	0.6	6	85.625	0	0
ARC	ACDC	0.6	6	86.8338558	0	0
ARC	WCA	0.8	6	84.375	0	0
ARC	Limbo	0.8	6	85.625	0	0
ARC	ACDC	0.8	6	86.8338558	0	0
WCA	Limbo	N/A	7	87.22741433	0	0
WCA	ACDC	N/A	7	91.7057903	0.142857143	0.25
Limbo	ACDC	N/A	7	85.44600939	0	0
ARC	WCA	0.2	7	87.69470405	0	0
ARC	Limbo	0.2	7	85.66978193	0	0
ARC	ACDC	0.2	7	84.19405321	0	0
ARC	WCA	0.4	7	84.11214953	0	0
ARC	Limbo	0.4	7	85.98130841	0	0
ARC	ACDC	0.4	7	86.54147105	0.142857143	0.25
ARC	WCA	0.6	7	83.80062305	0	0
ARC	Limbo	0.6	7	85.66978193	0	0
ARC	ACDC	0.6	7	86.228482	0	0
ARC	WCA	0.8	7	83.80062305	0	0
ARC	Limbo	0.8	7	85.66978193	0	0
ARC	ACDC	0.8	7	86.228482	0	0
WCA	Limbo	N/A	8	87.11180124	0	0
WCA	ACDC	N/A	8	91.40625	0.125	0.25
Limbo	ACDC	N/A	8	85.3125	0	0
ARC	WCA	0.2	8	87.88819876	0	0
ARC	Limbo	0.2	8	85.0931677	0	0
ARC	ACDC	0.2	8	83.4375	0	0
ARC	WCA	0.4	8	84.00621118	0	0
ARC	Limbo	0.4	8	86.33540373	0	0
ARC	ACDC	0.4	8	86.40625	0.125	0.25
ARC	WCA	0.6	8	83.69565217	0	0
ARC	Limbo	0.6	8	85.71428571	0	0
ARC	ACDC	0.6	8	86.09375	0.125	0.25
ARC	WCA	0.8	8	83.69565217	0	0
ARC	Limbo	0.8	8	85.71428571	0	0
ARC	ACDC	0.8	8	86.09375	0.125	0.25
WCA	Limbo	N/A	9	86.99690402	0	0
WCA	ACDC	N/A	9	91.10764431	0.111111111	0.25
Limbo	ACDC	N/A	9	85.02340094	0	0
ARC	WCA	0.2	9	83.12693498	0	0
ARC	Limbo	0.2	9	84.36532508	0.111111111	0.111111111
ARC	ACDC	0.2	9	86.11544462	0.111111111	0.25
ARC	WCA	0.4	9	84.21052632	0	0
ARC	Limbo	0.4	9	86.37770898	0	0
ARC	ACDC	0.4	9	86.27145086	0.111111111	0.25
ARC	WCA	0.6	9	83.90092879	0	0
ARC	Limbo	0.6	9	85.75851393	0	0
ARC	ACDC	0.6	9	85.95943838	0.111111111	0.25
ARC	WCA	0.8	9	83.90092879	0	0
ARC	Limbo	0.8	9	85.75851393	0	0
ARC	ACDC	0.8	9	85.95943838	0.111111111	0.25
WCA	Limbo	N/A	10	82.5617284	0	0
WCA	ACDC	N/A	10	90.80996885	0.1	0.25
Limbo	ACDC	N/A	10	81.77570093	0	0
ARC	WCA	0.2	10	83.17901235	0	0
ARC	Limbo	0.2	10	85.33950617	0.1	0.1
ARC	ACDC	0.2	10	85.98130841	0.1	0.25
ARC	WCA	0.4	10	84.10493827	0	0
ARC	Limbo	0.4	10	85.95679012	0	0
ARC	ACDC	0.4	10	86.13707165	0.1	0.25
ARC	WCA	0.6	10	83.95061728	0	0
ARC	Limbo	0.6	10	85.64814815	0	0
ARC	ACDC	0.6	10	85.82554517	0.1	0.25
ARC	WCA	0.8	10	83.95061728	0	0
ARC	Limbo	0.8	10	85.64814815	0	0
ARC	ACDC	0.8	10	85.82554517	0.1	0.25
WCA	Limbo	N/A	11	82.61538462	0	0
WCA	ACDC	N/A	11	90.51321928	0.090909091	0.25
Limbo	ACDC	N/A	11	81.64852255	0	0
ARC	WCA	0.2	11	83.23076923	0	0
ARC	Limbo	0.2	11	85.38461538	0.090909091	0.090909091
ARC	ACDC	0.2	11	85.84758942	0.090909091	0.25
ARC	WCA	0.4	11	84.15384615	0	0
ARC	Limbo	0.4	11	86	0	0
ARC	ACDC	0.4	11	86.00311042	0.090909091	0.25
ARC	WCA	0.6	11	84	0	0
ARC	Limbo	0.6	11	85.69230769	0	0
ARC	ACDC	0.6	11	85.69206843	0.090909091	0.25
ARC	WCA	0.8	11	84	0	0
ARC	Limbo	0.8	11	85.69230769	0	0
ARC	ACDC	0.8	11	85.69206843	0.090909091	0.25
WCA	Limbo	N/A	12	82.66871166	0	0
WCA	ACDC	N/A	12	90.37267081	0.083333333	0.25
Limbo	ACDC	N/A	12	81.52173913	0	0
ARC	WCA	0.2	12	83.28220859	0	0
ARC	Limbo	0.2	12	85.27607362	0.083333333	0.083333333
ARC	ACDC	0.2	12	85.71428571	0.083333333	0.25
ARC	WCA	0.4	12	84.20245399	0	0
ARC	Limbo	0.4	12	86.04294479	0	0
ARC	ACDC	0.4	12	85.86956522	0.083333333	0.25
ARC	WCA	0.6	12	84.04907975	0	0
ARC	Limbo	0.6	12	85.42944785	0	0
ARC	ACDC	0.6	12	85.55900621	0.083333333	0.25
ARC	WCA	0.8	12	84.04907975	0	0
ARC	Limbo	0.8	12	85.42944785	0	0
ARC	ACDC	0.8	12	85.55900621	0.083333333	0.25
WCA	Limbo	N/A	13	81.03975535	0	0
WCA	ACDC	N/A	13	90.07751938	0.076923077	0.25
Limbo	ACDC	N/A	13	81.08527132	0	0
ARC	WCA	0.2	13	83.48623853	0	0
ARC	Limbo	0.2	13	83.63914373	0.076923077	0.076923077
ARC	ACDC	0.2	13	85.58139535	0.076923077	0.25
ARC	WCA	0.4	13	84.40366972	0	0
ARC	Limbo	0.4	13	85.01529052	0	0
ARC	ACDC	0.4	13	85.73643411	0.076923077	0.25
ARC	WCA	0.6	13	84.25076453	0	0
ARC	Limbo	0.6	13	85.01529052	0	0
ARC	ACDC	0.6	13	85.42635659	0.076923077	0.25
ARC	WCA	0.8	13	84.25076453	0	0
ARC	Limbo	0.8	13	85.01529052	0	0
ARC	ACDC	0.8	13	85.42635659	0.076923077	0.25
WCA	Limbo	N/A	14	81.09756098	0	0
WCA	ACDC	N/A	14	89.78328173	0.071428571	0.25
Limbo	ACDC	N/A	14	80.95975232	0	0
ARC	WCA	0.2	14	83.38414634	0	0
ARC	Limbo	0.2	14	83.68902439	0.071428571	0.071428571
ARC	ACDC	0.2	14	85.44891641	0.071428571	0.25
ARC	WCA	0.4	14	84.29878049	0	0
ARC	Limbo	0.4	14	85.21341463	0	0
ARC	ACDC	0.4	14	85.60371517	0.071428571	0.25
ARC	WCA	0.6	14	84.14634146	0	0
ARC	Limbo	0.6	14	85.21341463	0	0
ARC	ACDC	0.6	14	85.29411765	0.071428571	0.25
ARC	WCA	0.8	14	84.14634146	0	0
ARC	Limbo	0.8	14	85.21341463	0	0
ARC	ACDC	0.8	14	85.29411765	0.071428571	0.25
WCA	Limbo	N/A	15	81.1550152	0	0
WCA	ACDC	N/A	15	89.48995363	0.066666667	0.25
Limbo	ACDC	N/A	15	80.83462133	0	0
ARC	WCA	0.2	15	83.28267477	0	0
ARC	Limbo	0.2	15	83.73860182	0.066666667	0.066666667
ARC	ACDC	0.2	15	85.31684699	0.066666667	0.25
ARC	WCA	0.4	15	84.34650456	0	0
ARC	Limbo	0.4	15	85.41033435	0	0
ARC	ACDC	0.4	15	85.47140649	0.066666667	0.25
ARC	WCA	0.6	15	84.04255319	0	0
ARC	Limbo	0.6	15	85.41033435	0	0
ARC	ACDC	0.6	15	85.16228748	0.066666667	0.25
ARC	WCA	0.8	15	84.04255319	0	0
ARC	Limbo	0.8	15	85.41033435	0	0
ARC	ACDC	0.8	15	85.16228748	0.066666667	0.25
WCA	Limbo	N/A	16	81.21212121	0	0
WCA	ACDC	N/A	16	89.19753086	0.0625	0.25
Limbo	ACDC	N/A	16	80.70987654	0	0
ARC	WCA	0.2	16	83.48484848	0	0
ARC	Limbo	0.2	16	83.18181818	0.0625	0.0625
